original_text,cleaned_text,case_folding,tokenized_text,normalized_text,stopword_removed
"acara webinar nya sudah berlangsung dengan sangat baik.		",acara webinar nya sudah berlangsung dengan sangat baik,acara webinar nya sudah berlangsung dengan sangat baik,"['acara', 'webinar', 'nya', 'sudah', 'berlangsung', 'dengan', 'sangat', 'baik']","['acara', 'seminar', 'nya', 'sudah', 'dilaksanakan', 'dengan', 'sangat', 'baik']","['acara', 'seminar', 'dilaksanakan', 'baik']"
"Semoga acara lainnya dapat berjalan dengan lancar dan baik		",Semoga acara lainnya dapat berjalan dengan lancar dan baik,semoga acara lainnya dapat berjalan dengan lancar dan baik,"['semoga', 'acara', 'lainnya', 'dapat', 'berjalan', 'dengan', 'lancar', 'dan', 'baik']","['semoga', 'acara', 'lain', 'dapat', 'terlaksana', 'dengan', 'sukses', 'dan', 'baik']","['semoga', 'acara', 'terlaksana', 'sukses', 'baik']"
"Terimakasih untuk para panitia		",Terimakasih untuk para panitia,terimakasih untuk para panitia,"['terimakasih', 'untuk', 'para', 'panitia']","['terima kasih', 'untuk', 'para', 'penyelenggara']","['terima kasih', 'penyelenggara']"
"Pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas		",Pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas,pembicara juga sangat kompeten dan relevan dengan topik atau tema yang dibahas,"['pembicara', 'juga', 'sangat', 'kompeten', 'dan', 'relevan', 'dengan', 'topik', 'atau', 'tema', 'yang', 'dibahas']","['narasumber', 'juga', 'sangat', 'kompeten', 'dan', 'relevan', 'dengan', 'tema', 'atau', 'tema', 'yang', 'dibahas']","['narasumber', 'kompeten', 'relevan', 'tema', 'tema', 'dibahas']"
"Sudah baik, saran waktu webinar lebih baik dilaksanakan pagi hari		",Sudah baik saran waktu webinar lebih baik dilaksanakan pagi hari,sudah baik saran waktu webinar lebih baik dilaksanakan pagi hari,"['sudah', 'baik', 'saran', 'waktu', 'webinar', 'lebih', 'baik', 'dilaksanakan', 'pagi', 'hari']","['sudah', 'baik', 'usulan', 'waktu', 'seminar', 'lebih', 'baik', 'berlangsung', 'waktu', 'hari']","['baik', 'usulan', 'waktu', 'seminar', 'baik', 'berlangsung', 'waktu', 'hari']"
"kurang icebreaking		",kurang icebreaking,kurang icebreaking,"['kurang', 'icebreaking']","['kurang', 'permainan']",['permainan']
"Acara sudah terlaksana dengan amat baik.		",Acara sudah terlaksana dengan amat baik,acara sudah terlaksana dengan amat baik,"['acara', 'sudah', 'terlaksana', 'dengan', 'amat', 'baik']","['acara', 'sudah', 'terlaksana', 'dengan', 'amat', 'baik']","['acara', 'terlaksana', 'baik']"
"Keren!!! Pembicaranya juga bagus-bagus sangat bermanfaat		",Keren Pembicaranya juga bagusbagus sangat bermanfaat,keren pembicaranya juga bagusbagus sangat bermanfaat,"['keren', 'pembicaranya', 'juga', 'bagusbagus', 'sangat', 'bermanfaat']","['keren', 'narasumber', 'juga', 'keren', 'sangat', 'bermanfaat']","['keren', 'narasumber', 'keren', 'bermanfaat']"
"lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya		",lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya,lebih tepat waktu dan interaktif agar tidak cepat bosan audiencenya,"['lebih', 'tepat', 'waktu', 'dan', 'interaktif', 'agar', 'tidak', 'cepat', 'bosan', 'audiencenya']","['lebih', 'tepat', 'waktu', 'dan', 'interaksi', 'agar', 'tidak', 'cepat', 'bosan', 'peserta']","['tepat', 'waktu', 'interaksi', 'cepat', 'bosan', 'peserta']"
"Sudah bagus dan menarik, semoga lebih baik lagi untuk selanjutnya		",Sudah bagus dan menarik semoga lebih baik lagi untuk selanjutnya,sudah bagus dan menarik semoga lebih baik lagi untuk selanjutnya,"['sudah', 'bagus', 'dan', 'menarik', 'semoga', 'lebih', 'baik', 'lagi', 'untuk', 'selanjutnya']","['sudah', 'keren', 'dan', 'seru', 'semoga', 'lebih', 'baik', 'lagi', 'untuk', 'lanjut']","['keren', 'seru', 'semoga', 'baik', 'lanjut']"
"Acara belajar dengan lancar dan bermanfaat		",Acara belajar dengan lancar dan bermanfaat,acara belajar dengan lancar dan bermanfaat,"['acara', 'belajar', 'dengan', 'lancar', 'dan', 'bermanfaat']","['acara', 'belajar', 'dengan', 'sukses', 'dan', 'bermanfaat']","['acara', 'belajar', 'sukses', 'bermanfaat']"
"Kegiatan ini sangat bermanfaat,dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat/umum dapat ilmu baru		",Kegiatan ini sangat bermanfaat dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat umum dapat ilmu baru,kegiatan ini sangat bermanfaat dan webinar ini sangat menarik dan saran saya adalah sering sering adakan lomba agar mahasiswa maupun masyarakat umum dapat ilmu baru,"['kegiatan', 'ini', 'sangat', 'bermanfaat', 'dan', 'webinar', 'ini', 'sangat', 'menarik', 'dan', 'saran', 'saya', 'adalah', 'sering', 'sering', 'adakan', 'lomba', 'agar', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'dapat', 'ilmu', 'baru']","['acara', 'ini', 'sangat', 'bermanfaat', 'dan', 'seminar', 'ini', 'sangat', 'seru', 'dan', 'usulan', 'saya', 'adalah', 'sering', 'sering', 'mengadakan', 'lomba', 'agar', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'dapat', 'pengalaman', 'inovatif']","['acara', 'bermanfaat', 'seminar', 'seru', 'usulan', 'sering', 'sering', 'mengadakan', 'lomba', 'mahasiswa', 'maupun', 'masyarakat', 'umum', 'pengalaman', 'inovatif']"
"Udah baguss dan keren, seneng bisa ikut kegiatan ini		",Udah baguss dan keren seneng bisa ikut kegiatan ini,udah baguss dan keren seneng bisa ikut kegiatan ini,"['udah', 'baguss', 'dan', 'keren', 'seneng', 'bisa', 'ikut', 'kegiatan', 'ini']","['sudah', 'keren', 'dan', 'keren', 'senang', 'bisa', 'ikut', 'acara', 'ini']","['keren', 'keren', 'senang', 'ikut', 'acara']"
"Acaranya sangat bermanfaat bagi mahasiswa upn		",Acaranya sangat bermanfaat bagi mahasiswa upn,acaranya sangat bermanfaat bagi mahasiswa upn,"['acaranya', 'sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'upn']","['acara', 'sangat', 'bermanfaat', 'bagi', 'mahasiswa', 'upn']","['acara', 'bermanfaat', 'mahasiswa', 'upn']"
"Semoga sukses selalu dan menjadi lebih baik lagi kedepannya		",Semoga sukses selalu dan menjadi lebih baik lagi kedepannya,semoga sukses selalu dan menjadi lebih baik lagi kedepannya,"['semoga', 'sukses', 'selalu', 'dan', 'menjadi', 'lebih', 'baik', 'lagi', 'kedepannya']","['semoga', 'sukses', 'selalu', 'dan', 'menjadi', 'lebih', 'baik', 'lagi', 'ke depannya']","['semoga', 'sukses', 'selalu', 'menjadi', 'baik', 'ke depannya']"
"Acara sudah berjalan dengan baik dan bagus		",Acara sudah berjalan dengan baik dan bagus,acara sudah berjalan dengan baik dan bagus,"['acara', 'sudah', 'berjalan', 'dengan', 'baik', 'dan', 'bagus']","['acara', 'sudah', 'terlaksana', 'dengan', 'baik', 'dan', 'keren']","['acara', 'terlaksana', 'baik', 'keren']"
"Rangkaian acara dibuat lebih variatif.		",Rangkaian acara dibuat lebih variatif,rangkaian acara dibuat lebih variatif,"['rangkaian', 'acara', 'dibuat', 'lebih', 'variatif']","['rangkaian', 'acara', 'dibuat', 'lebih', 'variatif']","['rangkaian', 'acara', 'dibuat', 'variatif']"
"saran saya adalah semoga kegiatan webinar FKBMIK lebih baik lagi kedepannya		",saran saya adalah semoga kegiatan webinar FKBMIK lebih baik lagi kedepannya,saran saya adalah semoga kegiatan webinar fkbmik lebih baik lagi kedepannya,"['saran', 'saya', 'adalah', 'semoga', 'kegiatan', 'webinar', 'fkbmik', 'lebih', 'baik', 'lagi', 'kedepannya']","['usulan', 'saya', 'adalah', 'semoga', 'acara', 'seminar', 'fkbmik', 'lebih', 'baik', 'lagi', 'ke depannya']","['usulan', 'semoga', 'acara', 'seminar', 'fkbmik', 'baik', 'ke depannya']"
"tidak ada, acara berlangsung dengan baik dan lancar		",tidak ada acara berlangsung dengan baik dan lancar,tidak ada acara berlangsung dengan baik dan lancar,"['tidak', 'ada', 'acara', 'berlangsung', 'dengan', 'baik', 'dan', 'lancar']","['tidak', 'ada', 'acara', 'dilaksanakan', 'dengan', 'baik', 'dan', 'sukses']","['acara', 'dilaksanakan', 'baik', 'sukses']"
"Semoga untuk acara FKBMIK kedepannya lebih bagus lagi		",Semoga untuk acara FKBMIK kedepannya lebih bagus lagi,semoga untuk acara fkbmik kedepannya lebih bagus lagi,"['semoga', 'untuk', 'acara', 'fkbmik', 'kedepannya', 'lebih', 'bagus', 'lagi']","['semoga', 'untuk', 'acara', 'fkbmik', 'ke depannya', 'lebih', 'keren', 'lagi']","['semoga', 'acara', 'fkbmik', 'ke depannya', 'keren']"
"acaranya bagus, lancar semoga kedepannya lebih baik lagi		",acaranya bagus lancar semoga kedepannya lebih baik lagi,acaranya bagus lancar semoga kedepannya lebih baik lagi,"['acaranya', 'bagus', 'lancar', 'semoga', 'kedepannya', 'lebih', 'baik', 'lagi']","['acara', 'keren', 'sukses', 'semoga', 'ke depannya', 'lebih', 'baik', 'lagi']","['acara', 'keren', 'sukses', 'semoga', 'ke depannya', 'baik']"
"Acara yang Sangat bermanfaat		",Acara yang Sangat bermanfaat,acara yang sangat bermanfaat,"['acara', 'yang', 'sangat', 'bermanfaat']","['acara', 'yang', 'sangat', 'bermanfaat']","['acara', 'bermanfaat']"
"Semoga acara bisa lebih meriah		",Semoga acara bisa lebih meriah,semoga acara bisa lebih meriah,"['semoga', 'acara', 'bisa', 'lebih', 'meriah']","['semoga', 'acara', 'bisa', 'lebih', 'meriah']","['semoga', 'acara', 'meriah']"
"semoga offline tahun depan ye		",semoga offline tahun depan ye,semoga offline tahun depan ye,"['semoga', 'offline', 'tahun', 'depan', 'ye']","['semoga', 'luring', 'waktu', 'depan', 'iya']","['semoga', 'luring', 'waktu', 'depan']"
"Webinar nya menarik dan bermanfaat		",Webinar nya menarik dan bermanfaat,webinar nya menarik dan bermanfaat,"['webinar', 'nya', 'menarik', 'dan', 'bermanfaat']","['seminar', 'nya', 'seru', 'dan', 'bermanfaat']","['seminar', 'seru', 'bermanfaat']"
"tidak ada, tapi adanya pujian yaitu narasumbernya informatif dan jelas		",tidak ada tapi adanya pujian yaitu narasumbernya informatif dan jelas,tidak ada tapi adanya pujian yaitu narasumbernya informatif dan jelas,"['tidak', 'ada', 'tapi', 'adanya', 'pujian', 'yaitu', 'narasumbernya', 'informatif', 'dan', 'jelas']","['tidak', 'ada', 'tetapi', 'ada', 'pujian', 'yaitu', 'narasumber', 'informatif', 'dan', 'jelas']","['pujian', 'narasumber', 'informatif', 'jelas']"
"Saran saya, untuk kegiatan selanjutnya pemateri lebih banyak dan variatif		",Saran saya untuk kegiatan selanjutnya pemateri lebih banyak dan variatif,saran saya untuk kegiatan selanjutnya pemateri lebih banyak dan variatif,"['saran', 'saya', 'untuk', 'kegiatan', 'selanjutnya', 'pemateri', 'lebih', 'banyak', 'dan', 'variatif']","['usulan', 'saya', 'untuk', 'acara', 'lanjut', 'narasumber', 'lebih', 'banyak', 'dan', 'variatif']","['usulan', 'acara', 'lanjut', 'narasumber', 'banyak', 'variatif']"
"Kegiatannya seru dan bermanfaat		",Kegiatannya seru dan bermanfaat,kegiatannya seru dan bermanfaat,"['kegiatannya', 'seru', 'dan', 'bermanfaat']","['acara', 'menarik', 'dan', 'bermanfaat']","['acara', 'menarik', 'bermanfaat']"
"Sudah bagus dan terlaksana dengan baik		",Sudah bagus dan terlaksana dengan baik,sudah bagus dan terlaksana dengan baik,"['sudah', 'bagus', 'dan', 'terlaksana', 'dengan', 'baik']","['sudah', 'keren', 'dan', 'terlaksana', 'dengan', 'baik']","['keren', 'terlaksana', 'baik']"
"Pertahankan kerja keras hari ini		",Pertahankan kerja keras hari ini,pertahankan kerja keras hari ini,"['pertahankan', 'kerja', 'keras', 'hari', 'ini']","['pertahankan', 'kerja', 'keras', 'hari', 'ini']","['pertahankan', 'kerja', 'keras', 'hari']"
"Acara sudah berjalan cukup baik		",Acara sudah berjalan cukup baik,acara sudah berjalan cukup baik,"['acara', 'sudah', 'berjalan', 'cukup', 'baik']","['acara', 'sudah', 'terlaksana', 'cukup', 'baik']","['acara', 'terlaksana', 'cukup', 'baik']"
"acara menghadirkan pembicara yang inovativ		",acara menghadirkan pembicara yang inovativ,acara menghadirkan pembicara yang inovativ,"['acara', 'menghadirkan', 'pembicara', 'yang', 'inovativ']","['acara', 'undang', 'narasumber', 'yang', 'inovatif']","['acara', 'undang', 'narasumber', 'inovatif']"
"Menurut saya acara kali ini sudah sangat bagus, informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini		",Menurut saya acara kali ini sudah sangat bagus informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini,menurut saya acara kali ini sudah sangat bagus informasi yang diberikan juga sangat cocok dengan kebutuhan mahasiswa saat ini,"['menurut', 'saya', 'acara', 'kali', 'ini', 'sudah', 'sangat', 'bagus', 'informasi', 'yang', 'diberikan', 'juga', 'sangat', 'cocok', 'dengan', 'kebutuhan', 'mahasiswa', 'saat', 'ini']","['menurut', 'saya', 'acara', 'kali', 'ini', 'sudah', 'sangat', 'keren', 'penyampaian', 'yang', 'diberikan', 'juga', 'sangat', 'cocok', 'dengan', 'kebutuhan', 'mahasiswa', 'saat', 'ini']","['acara', 'kali', 'keren', 'penyampaian', 'diberikan', 'cocok', 'kebutuhan', 'mahasiswa']"
"Kegiatannya sangat menarik dan bermanfaat		",Kegiatannya sangat menarik dan bermanfaat,kegiatannya sangat menarik dan bermanfaat,"['kegiatannya', 'sangat', 'menarik', 'dan', 'bermanfaat']","['acara', 'sangat', 'seru', 'dan', 'bermanfaat']","['acara', 'seru', 'bermanfaat']"
"Tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa		",Tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa,tidak ada kritik dan saran pelaksanaan kegiatan nya sudah baik dengan menghadirkan narasumber yang luar biasa,"['tidak', 'ada', 'kritik', 'dan', 'saran', 'pelaksanaan', 'kegiatan', 'nya', 'sudah', 'baik', 'dengan', 'menghadirkan', 'narasumber', 'yang', 'luar', 'biasa']","['tidak', 'ada', 'kritik', 'dan', 'usulan', 'pelaksanaan', 'acara', 'nya', 'sudah', 'baik', 'dengan', 'undang', 'narasumber', 'yang', 'luar', 'biasa']","['kritik', 'usulan', 'pelaksanaan', 'acara', 'baik', 'undang', 'narasumber', 'luar', 'biasa']"
"Semoga kedepannya bisa terus lebih baik		",Semoga kedepannya bisa terus lebih baik,semoga kedepannya bisa terus lebih baik,"['semoga', 'kedepannya', 'bisa', 'terus', 'lebih', 'baik']","['semoga', 'ke depannya', 'bisa', 'terus', 'lebih', 'baik']","['semoga', 'ke depannya', 'terus', 'baik']"
"Kegiatan webinar sudah terlaksana dengan cukup baik.		",Kegiatan webinar sudah terlaksana dengan cukup baik,kegiatan webinar sudah terlaksana dengan cukup baik,"['kegiatan', 'webinar', 'sudah', 'terlaksana', 'dengan', 'cukup', 'baik']","['acara', 'seminar', 'sudah', 'terlaksana', 'dengan', 'cukup', 'baik']","['acara', 'seminar', 'terlaksana', 'cukup', 'baik']"
"Sangat bermanfaat sekali dan menambah wawasan		",Sangat bermanfaat sekali dan menambah wawasan,sangat bermanfaat sekali dan menambah wawasan,"['sangat', 'bermanfaat', 'sekali', 'dan', 'menambah', 'wawasan']","['sangat', 'bermanfaat', 'sekali', 'dan', 'tambah', 'pengalaman']","['bermanfaat', 'sekali', 'tambah', 'pengalaman']"
"Waktu webinarnya tambahin lagi ya		",Waktu webinarnya tambahin lagi ya,waktu webinarnya tambahin lagi ya,"['waktu', 'webinarnya', 'tambahin', 'lagi', 'ya']","['waktu', 'seminar', 'tambah', 'lagi', 'ya']","['waktu', 'seminar', 'tambah']"
"Semoga semakin banyak topik menarik lagi yang diangkat		",Semoga semakin banyak topik menarik lagi yang diangkat,semoga semakin banyak topik menarik lagi yang diangkat,"['semoga', 'semakin', 'banyak', 'topik', 'menarik', 'lagi', 'yang', 'diangkat']","['semoga', 'semakin', 'banyak', 'tema', 'seru', 'lagi', 'yang', 'diangkat']","['semoga', 'semakin', 'banyak', 'tema', 'seru', 'diangkat']"
"Mungkin saat pemaparan materi, semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor... sekian, terimakasih banyak...		",Mungkin saat pemaparan materi semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor sekian terimakasih banyak,mungkin saat pemaparan materi semua peserta di mute sementara oleh panitia agar lebih kondusif karena kadang ada saja yang bocor sekian terimakasih banyak,"['mungkin', 'saat', 'pemaparan', 'materi', 'semua', 'peserta', 'di', 'mute', 'sementara', 'oleh', 'panitia', 'agar', 'lebih', 'kondusif', 'karena', 'kadang', 'ada', 'saja', 'yang', 'bocor', 'sekian', 'terimakasih', 'banyak']","['mungkin', 'saat', 'pemaparan', 'materi', 'semua', 'peserta', 'di', 'diam', 'sementara', 'oleh', 'penyelenggara', 'agar', 'lebih', 'kondusif', 'karena', 'terkadang', 'ada', 'saja', 'yang', 'bocor', 'sekian', 'terima kasih', 'banyak']","['mungkin', 'pemaparan', 'materi', 'peserta', 'diam', 'penyelenggara', 'kondusif', 'terkadang', 'bocor', 'sekian', 'terima kasih', 'banyak']"
"Belum ada kritik, kegiatan berjalan dengan baik		",Belum ada kritik kegiatan berjalan dengan baik,belum ada kritik kegiatan berjalan dengan baik,"['belum', 'ada', 'kritik', 'kegiatan', 'berjalan', 'dengan', 'baik']","['belum', 'ada', 'kritik', 'acara', 'terlaksana', 'dengan', 'baik']","['kritik', 'acara', 'terlaksana', 'baik']"
"materi yang disampaikan sangat bagus, sangat memberi kami para mahasiswa wawasan untuk kedepannya		",materi yang disampaikan sangat bagus sangat memberi kami para mahasiswa wawasan untuk kedepannya,materi yang disampaikan sangat bagus sangat memberi kami para mahasiswa wawasan untuk kedepannya,"['materi', 'yang', 'disampaikan', 'sangat', 'bagus', 'sangat', 'memberi', 'kami', 'para', 'mahasiswa', 'wawasan', 'untuk', 'kedepannya']","['materi', 'yang', 'disampaikan', 'sangat', 'keren', 'sangat', 'memberi', 'kami', 'para', 'mahasiswa', 'pengalaman', 'untuk', 'ke depannya']","['materi', 'disampaikan', 'keren', 'memberi', 'mahasiswa', 'pengalaman', 'ke depannya']"
"Sempat terjadi kesalahan teknis saat link zoomnya penuh.		",Sempat terjadi kesalahan teknis saat link zoomnya penuh,sempat terjadi kesalahan teknis saat link zoomnya penuh,"['sempat', 'terjadi', 'kesalahan', 'teknis', 'saat', 'link', 'zoomnya', 'penuh']","['sempat', 'berlangsung', 'kesalahan', 'teknis', 'saat', 'tautan', 'zoom', 'penuh']","['sempat', 'berlangsung', 'kesalahan', 'teknis', 'tautan', 'zoom', 'penuh']"
"pelaksanaan acaranya sudah baikk, bisa dipertahankan di acara fkmbik selanjutnya		",pelaksanaan acaranya sudah baikk bisa dipertahankan di acara fkmbik selanjutnya,pelaksanaan acaranya sudah baikk bisa dipertahankan di acara fkmbik selanjutnya,"['pelaksanaan', 'acaranya', 'sudah', 'baikk', 'bisa', 'dipertahankan', 'di', 'acara', 'fkmbik', 'selanjutnya']","['pelaksanaan', 'acara', 'sudah', 'baik', 'bisa', 'dipertahankan', 'di', 'acara', 'fkbmik', 'lanjut']","['pelaksanaan', 'acara', 'baik', 'dipertahankan', 'acara', 'fkbmik', 'lanjut']"
"Kegiatannya cukup menarik dan informatif		",Kegiatannya cukup menarik dan informatif,kegiatannya cukup menarik dan informatif,"['kegiatannya', 'cukup', 'menarik', 'dan', 'informatif']","['acara', 'cukup', 'seru', 'dan', 'informatif']","['acara', 'cukup', 'seru', 'informatif']"
"semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru!!		",semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru,semoga bisa memberikan ilmu yang bermanfaat lagi dan kedepannya lebih seru,"['semoga', 'bisa', 'memberikan', 'ilmu', 'yang', 'bermanfaat', 'lagi', 'dan', 'kedepannya', 'lebih', 'seru']","['semoga', 'bisa', 'memberi', 'pengalaman', 'yang', 'bermanfaat', 'lagi', 'dan', 'ke depannya', 'lebih', 'menarik']","['semoga', 'memberi', 'pengalaman', 'bermanfaat', 'ke depannya', 'menarik']"
"semoga acara ke depannya lebih baik lagi		",semoga acara ke depannya lebih baik lagi,semoga acara ke depannya lebih baik lagi,"['semoga', 'acara', 'ke', 'depannya', 'lebih', 'baik', 'lagi']","['semoga', 'acara', 'ke', 'depan', 'lebih', 'baik', 'lagi']","['semoga', 'acara', 'depan', 'baik']"
"kegiatan webinar ini sangat membantu sekali bagi generasi Z, karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya		",kegiatan webinar ini sangat membantu sekali bagi generasi Z karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya,kegiatan webinar ini sangat membantu sekali bagi generasi z karena dari webinar ini kita mendapat banyak sekali ilmu yang bermanfaat sebagai bekal kita kedepannya,"['kegiatan', 'webinar', 'ini', 'sangat', 'membantu', 'sekali', 'bagi', 'generasi', 'z', 'karena', 'dari', 'webinar', 'ini', 'kita', 'mendapat', 'banyak', 'sekali', 'ilmu', 'yang', 'bermanfaat', 'sebagai', 'bekal', 'kita', 'kedepannya']","['acara', 'seminar', 'ini', 'sangat', 'membantu', 'sekali', 'bagi', 'generasi', 'z', 'karena', 'dari', 'seminar', 'ini', 'kita', 'dapat', 'banyak', 'sekali', 'pengalaman', 'yang', 'bermanfaat', 'sebagai', 'bekal', 'kita', 'ke depannya']","['acara', 'seminar', 'membantu', 'sekali', 'generasi', 'z', 'seminar', 'banyak', 'sekali', 'pengalaman', 'bermanfaat', 'bekal', 'ke depannya']"
"Webinar nya sangat menarik		",Webinar nya sangat menarik,webinar nya sangat menarik,"['webinar', 'nya', 'sangat', 'menarik']","['seminar', 'nya', 'sangat', 'seru']","['seminar', 'seru']"
"Saran : mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi		",Saran mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi,saran mungkin lain kali bisa diadakan kegiatan webinar seperti ini kembali dengan tema yang lebih menarik lagi,"['saran', 'mungkin', 'lain', 'kali', 'bisa', 'diadakan', 'kegiatan', 'webinar', 'seperti', 'ini', 'kembali', 'dengan', 'tema', 'yang', 'lebih', 'menarik', 'lagi']","['usulan', 'mungkin', 'lain', 'kali', 'bisa', 'mengadakan', 'acara', 'seminar', 'seperti', 'ini', 'kembali', 'dengan', 'tema', 'yang', 'lebih', 'seru', 'lagi']","['usulan', 'mungkin', 'kali', 'mengadakan', 'acara', 'seminar', 'tema', 'seru']"
"Infomasinya menarik dan jelas		",Infomasinya menarik dan jelas,infomasinya menarik dan jelas,"['infomasinya', 'menarik', 'dan', 'jelas']","['penyampaian', 'seru', 'dan', 'jelas']","['penyampaian', 'seru', 'jelas']"
"materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini.		",materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini,materi yang dipilih untuk webinar kali ini sangat menarik karena berhubungan dengan generasi ada jaman ini,"['materi', 'yang', 'dipilih', 'untuk', 'webinar', 'kali', 'ini', 'sangat', 'menarik', 'karena', 'berhubungan', 'dengan', 'generasi', 'ada', 'jaman', 'ini']","['materi', 'yang', 'pilih', 'untuk', 'seminar', 'kali', 'ini', 'sangat', 'seru', 'karena', 'relevan', 'dengan', 'generasi', 'ada', 'zaman', 'ini']","['materi', 'pilih', 'seminar', 'kali', 'seru', 'relevan', 'generasi', 'zaman']"
"Menurut saya pelaksanaannya sudah baik.		",Menurut saya pelaksanaannya sudah baik,menurut saya pelaksanaannya sudah baik,"['menurut', 'saya', 'pelaksanaannya', 'sudah', 'baik']","['menurut', 'saya', 'pelaksanaan', 'sudah', 'baik']","['pelaksanaan', 'baik']"
"Acara sudah berjalan dengan lancar, terimakasih:)		",Acara sudah berjalan dengan lancar terimakasih,acara sudah berjalan dengan lancar terimakasih,"['acara', 'sudah', 'berjalan', 'dengan', 'lancar', 'terimakasih']","['acara', 'sudah', 'terlaksana', 'dengan', 'sukses', 'terima kasih']","['acara', 'terlaksana', 'sukses', 'terima kasih']"
"MATERI BAGUS		",MATERI BAGUS,materi bagus,"['materi', 'bagus']","['materi', 'keren']","['materi', 'keren']"
"Lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya		",Lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya,lebih baik lebih pemateri nya yang bisa mengajak interaksi pesertanya,"['lebih', 'baik', 'lebih', 'pemateri', 'nya', 'yang', 'bisa', 'mengajak', 'interaksi', 'pesertanya']","['lebih', 'baik', 'lebih', 'narasumber', 'nya', 'yang', 'bisa', 'ajak', 'interaksi', 'peserta']","['baik', 'narasumber', 'ajak', 'interaksi', 'peserta']"
"acara sudah bagus		",acara sudah bagus,acara sudah bagus,"['acara', 'sudah', 'bagus']","['acara', 'sudah', 'keren']","['acara', 'keren']"
"Acara bagus sangat bermanfaat		",Acara bagus sangat bermanfaat,acara bagus sangat bermanfaat,"['acara', 'bagus', 'sangat', 'bermanfaat']","['acara', 'keren', 'sangat', 'bermanfaat']","['acara', 'keren', 'bermanfaat']"
"acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube		",acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube,acaranya bagus bgt buat nambah wawasan walaupun streamin di youtube,"['acaranya', 'bagus', 'bgt', 'buat', 'nambah', 'wawasan', 'walaupun', 'streamin', 'di', 'youtube']","['acara', 'keren', 'banget', 'buat', 'tambah', 'pengalaman', 'walaupun', 'siaran langsung', 'di', 'youtube']","['acara', 'keren', 'banget', 'buat', 'tambah', 'pengalaman', 'walaupun', 'siaran langsung', 'youtube']"
"Manurut saya acara webinar ini sudah menarik dan banyak hal-hal yang saya pelajari dari webinar ini		",Manurut saya acara webinar ini sudah menarik dan banyak halhal yang saya pelajari dari webinar ini,manurut saya acara webinar ini sudah menarik dan banyak halhal yang saya pelajari dari webinar ini,"['manurut', 'saya', 'acara', 'webinar', 'ini', 'sudah', 'menarik', 'dan', 'banyak', 'halhal', 'yang', 'saya', 'pelajari', 'dari', 'webinar', 'ini']","['menurut', 'saya', 'acara', 'seminar', 'ini', 'sudah', 'seru', 'dan', 'banyak', 'hal', 'yang', 'saya', 'belajar', 'dari', 'seminar', 'ini']","['acara', 'seminar', 'seru', 'banyak', 'belajar', 'seminar']"
"Seru banget, ilmu nya semoga Bermanfaat buat semuanya yang hdir		",Seru banget ilmu nya semoga Bermanfaat buat semuanya yang hdir,seru banget ilmu nya semoga bermanfaat buat semuanya yang hdir,"['seru', 'banget', 'ilmu', 'nya', 'semoga', 'bermanfaat', 'buat', 'semuanya', 'yang', 'hdir']","['menarik', 'sekali', 'pengalaman', 'nya', 'semoga', 'bermanfaat', 'buat', 'semua', 'yang', 'hadir']","['menarik', 'sekali', 'pengalaman', 'semoga', 'bermanfaat', 'buat', 'hadir']"
